(4, 1)
(6, 1)
(8, 2)
(10, 3)
(12, 2)
(14, 3)
(16, 4)
(18, 4)
(20, 4)
(22, 5)
(24, 6)
(26, 5)
(28, 4)
(30, 6)
(32, 4)
(34, 7)
(36, 8)
(38, 3)
(40, 6)
(42, 8)
(44, 6)
(46, 7)
(48, 10)
(50, 8)
(52, 6)
(54, 10)
(56, 6)
(58, 7)
(60, 12)
(62, 5)
(64, 10)
(66, 12)
(68, 4)
(70, 10)
(72, 12)
(74, 9)
(76, 10)
(78, 14)
(80, 8)
(82, 9)
(84, 16)
(86, 9)
(88, 8)
(90, 18)
(92, 8)
(94, 9)
(96, 14)
(98, 6)
(100, 12)
(102, 16)
(104, 10)
(106, 11)
(108, 16)
(110, 12)
(112, 14)
(114, 20)
(116, 12)
(118, 11)
(120, 24)
(122, 7)
(124, 10)
(126, 20)
(128, 6)
(130, 14)
(132, 18)
(134, 11)
(136, 10)
(138, 16)
(140, 14)
(142, 15)
(144, 22)
(146, 11)
(148, 10)
(150, 24)
(152, 8)
(154, 16)
(156, 22)
(158, 9)
(160, 16)
(162, 20)
(164, 10)
(166, 11)
(168, 26)
(170, 18)
(172, 12)
(174, 22)
(176, 14)
(178, 13)
(180, 28)
(182, 12)
(184, 16)
(186, 26)
(188, 10)
(190, 16)
(192, 22)
(194, 13)
(196, 18)
(198, 26)
(200, 16)
(202, 17)
(204, 28)
(206, 13)
(208, 14)
(210, 38)
(212, 12)
(214, 15)
(216, 26)
(218, 13)
(220, 18)
(222, 22)
(224, 14)
(226, 13)
(228, 24)
(230, 18)
(232, 14)
(234, 30)
(236, 18)
(238, 18)
(240, 36)
(242, 16)
(244, 18)
(246, 32)
(248, 12)
(250, 18)
(252, 32)
(254, 17)
(256, 16)
(258, 28)
(260, 20)
(262, 17)
(264, 32)
(266, 16)
(268, 18)
(270, 38)
(272, 14)
(274, 21)
(276, 32)
(278, 13)
(280, 28)
(282, 32)
(284, 16)
(286, 24)
(288, 34)
(290, 20)
(292, 16)
(294, 38)
(296, 16)
(298, 21)
(300, 42)
(302, 17)
(304, 20)
(306, 30)
(308, 16)
(310, 24)
(312, 34)
(314, 17)
(316, 20)
(318, 30)
(320, 22)
(322, 22)
(324, 40)
(326, 13)
(328, 20)
(330, 48)
(332, 12)
(334, 21)
(336, 38)
(338, 18)
(340, 26)
(342, 34)
(344, 20)
(346, 17)
(348, 32)
(350, 26)
(352, 20)
(354, 40)
(356, 18)
(358, 19)
(360, 44)
(362, 15)
(364, 28)
(366, 36)
(368, 16)
(370, 28)
(372, 36)
(374, 20)
(376, 22)
(378, 44)
(380, 26)
(382, 19)
(384, 38)
(386, 23)
(388, 18)
(390, 54)
(392, 22)
(394, 21)
(396, 42)
(398, 13)
(400, 28)
(402, 34)
(404, 22)
(406, 26)
(408, 40)
(410, 26)
(412, 22)
(414, 42)
(416, 20)
(418, 22)
(420, 60)
(422, 21)
(424, 24)
(426, 42)
(428, 18)
(430, 28)
(432, 38)
(434, 26)
(436, 22)
(438, 42)
(440, 28)
(442, 26)
(444, 42)
(446, 23)
(448, 26)
(450, 54)
(452, 24)
(454, 23)
(456, 48)
(458, 17)
(460, 32)
(462, 56)
(464, 24)
(466, 25)
(468, 48)
(470, 30)
(472, 26)
(474, 46)
(476, 28)
(478, 21)
(480, 58)
(482, 21)
(484, 28)
(486, 46)
(488, 18)
(490, 38)
(492, 44)
(494, 26)
(496, 26)
(498, 46)
(500, 26)
(502, 29)
(504, 54)
(506, 30)
(508, 28)
(510, 64)
(512, 22)
(514, 27)
(516, 46)
(518, 22)
(520, 34)
(522, 48)
(524, 22)
(526, 29)
(528, 50)
(530, 28)
(532, 34)
(534, 44)
(536, 26)
(538, 27)
(540, 60)
(542, 19)
(544, 26)
(546, 60)
(548, 22)
(550, 36)
(552, 44)
(554, 19)
(556, 22)
(558, 44)
(560, 32)
(562, 25)
(564, 44)
(566, 21)
(568, 22)
(570, 56)
(572, 20)
(574, 24)
(576, 42)
(578, 20)
(580, 30)
(582, 42)
(584, 18)
(586, 19)
(588, 48)
(590, 24)
(592, 24)
(594, 42)
(596, 20)
(598, 22)
(600, 48)
(602, 20)
(604, 16)
(606, 38)
(608, 18)
(610, 26)
(612, 40)
(614, 19)
(616, 24)
(618, 34)
(620, 24)
(622, 21)
(624, 40)
(626, 15)
(628, 22)
(630, 54)
(632, 12)
(634, 17)
(636, 32)
(638, 18)
(640, 24)
(642, 34)
(644, 18)
(646, 16)
(648, 32)
(650, 24)
(652, 18)
(654, 32)
(656, 14)
(658, 22)
(660, 46)
(662, 17)
(664, 14)
(666, 32)
(668, 12)
(670, 22)
(672, 38)
(674, 11)
(676, 16)
(678, 28)
(680, 22)
(682, 18)
(684, 28)
(686, 16)
(688, 14)
(690, 44)
(692, 12)
(694, 17)
(696, 28)
(698, 13)
(700, 24)
(702, 32)
(704, 16)
(706, 15)
(708, 20)
(710, 14)
(712, 18)
(714, 32)
(716, 14)
(718, 15)
(720, 34)
(722, 12)
(724, 10)
(726, 28)
(728, 12)
(730, 16)
(732, 32)
(734, 13)
(736, 16)
(738, 24)
(740, 14)
(742, 18)
(744, 18)
(746, 15)
(748, 16)
(750, 30)
(752, 10)
(754, 12)
(756, 26)
(758, 7)
(760, 18)
(762, 20)
(764, 12)
(766, 9)
(768, 24)
(770, 18)
(772, 16)
(774, 22)
(776, 10)
(778, 13)
(780, 30)
(782, 8)
(784, 12)
(786, 18)
(788, 8)
(790, 12)
(792, 24)
(794, 11)
(796, 8)
(798, 24)
(800, 10)
